,distance,time,radial_velocity,obs_signal,x,y,z,time_step
0,6.0,2023-05-05 00:13:07.410000,0.4204,0.0483,0.0,5.9088,1.0419,0
100,81.0,2023-05-05 00:13:10.440012,-1.2995,0.368,6.0227,79.5417,14.0655,0
200,162.0,2023-05-05 00:13:13.469988,-0.8026,0.3611,24.6548,157.6223,28.131,0
300,156.0,2023-05-05 00:13:16.489992,-0.8791,0.6242,35.7078,149.4227,27.0891,0
400,180.0,2023-05-05 00:13:19.520004,-0.6497,0.5732,54.7486,168.599,31.2567,0
500,585.0,2023-05-05 00:13:22.569996,-1.6435,0.6686,220.7474,532.1431,101.5842,0
600,9.0,2023-05-05 00:13:28.629984,0.1911,0.0781,4.6495,7.5458,1.5628,0
700,189.0,2023-05-05 00:13:31.670004,-1.1466,0.7662,109.9549,150.1793,32.8195,0
800,78.0,2023-05-05 00:13:34.700016,-0.8791,0.0608,50.1214,58.2099,13.5446,0
900,39.0,2023-05-05 00:13:37.719984,-2.599,0.1116,27.2906,27.0252,6.7723,0
1000,720.0,2023-05-05 00:13:37.719984,-3.1723,0.0403,503.8265,498.9261,125.0267,0
1100,681.0,2023-05-05 00:13:40.739988,-3.0576,0.1607,512.394,432.7,118.2544,0
1200,642.0,2023-05-05 00:13:43.770000,-2.943,0.5766,513.7588,368.4937,111.4821,0
1300,618.0,2023-05-05 00:13:46.790004,-3.0576,0.5061,521.0789,314.4589,107.3146,0
1400,621.0,2023-05-05 00:13:49.829988,-3.1341,0.4629,547.0727,273.3568,107.8355,0
1500,384.0,2023-05-05 00:13:52.849992,-2.3697,0.7526,350.6296,141.6635,66.6809,0
1600,297.0,2023-05-05 00:13:55.880004,-2.5225,0.1223,278.9967,87.8067,51.5735,0
1700,597.0,2023-05-05 00:13:55.880004,-3.0576,0.1717,560.8115,176.5004,103.668,0
1800,588.0,2023-05-05 00:14:01.929984,-3.4398,0.3096,572.8697,84.4919,102.1051,0
1900,24.0,2023-05-05 00:14:07.969992,-0.3058,0.1261,23.6336,-0.2888,4.1676,0
2000,336.0,2023-05-05 00:14:11.000004,-3.2487,0.789,329.5178,-30.1624,58.3458,0
2100,15.0,2023-05-05 00:14:17.049984,0.1147,0.1214,14.3144,-3.6487,2.6047,0
2200,36.0,2023-05-05 00:14:23.089992,-2.3314,0.128,32.5397,-14.0744,6.2513,0
2300,54.0,2023-05-05 00:14:29.140008,-6.7268,0.2212,44.8712,-28.5421,9.377,0
2400,33.0,2023-05-05 00:14:35.189988,-1.2995,0.0566,24.3213,-21.5555,5.7304,0
2500,246.0,2023-05-05 00:14:38.209992,-1.8346,0.9746,168.0463,-174.504,42.7175,0
2600,612.0,2023-05-05 00:14:41.240004,-1.7199,0.2492,382.391,-465.8618,106.2727,0
2700,6.0,2023-05-05 00:14:47.379984,0.6115,0.1586,2.9696,-5.1084,1.0419,0
2800,744.0,2023-05-05 00:14:47.379984,-1.2613,0.38,368.2296,-633.4444,129.1942,0
2900,705.0,2023-05-05 00:14:50.399988,-1.2231,0.1485,300.2111,-626.0281,122.422,0
3000,192.0,2023-05-05 00:14:56.450004,-0.9937,0.9986,53.8607,-181.2497,33.3405,0
3100,612.0,2023-05-05 00:14:59.470008,-0.1147,0.0537,125.4118,-589.51,106.2727,0
3200,81.0,2023-05-05 00:15:05.519988,-1.2995,0.4139,4.0636,-79.6659,14.0655,0
3300,576.0,2023-05-05 00:15:08.550000,0.3822,0.1389,-16.0365,-567.0225,100.0214,0
3400,18.0,2023-05-05 00:15:14.590008,-0.9555,0.2292,-3.2882,-17.4189,3.1257,0
3500,57.0,2023-05-05 00:15:17.619984,7.8734,0.0339,-14.7556,-54.16,9.8979,0
3600,78.0,2023-05-05 00:15:20.639988,-0.344,0.0494,-25.9949,-72.2828,13.5446,0
3700,591.0,2023-05-05 00:15:23.670000,1.6435,0.1793,-239.6027,-530.4144,102.6261,0
3800,603.0,2023-05-05 00:15:29.720016,2.1021,0.3628,-326.8104,-495.8223,104.7099,0
3900,615.0,2023-05-05 00:15:35.780004,2.0639,0.3775,-409.0978,-446.6084,106.7936,0
4000,624.0,2023-05-05 00:15:41.820012,2.255,0.696,-481.3954,-381.9599,108.3565,0
4100,33.0,2023-05-05 00:15:47.869992,-1.6435,0.0372,-28.3272,-15.929,5.7304,0
4200,663.0,2023-05-05 00:15:50.900004,2.4079,0.025,-592.6651,-273.9753,115.1287,0
4300,57.0,2023-05-05 00:15:56.949984,-8.0263,0.0835,-54.0318,-15.2182,9.8979,0
4400,57.0,2023-05-05 00:15:59.969988,-7.0326,0.1122,-55.0669,-10.8935,9.8979,0
4500,138.0,2023-05-05 00:16:03.000000,2.4079,0.9972,-134.9891,-15.7382,23.9634,0
4600,549.0,2023-05-05 00:16:03.000000,2.3697,0.7259,-537.0219,-62.6105,95.3328,0
4700,180.0,2023-05-05 00:16:06.020004,1.6435,0.6593,-177.1452,-6.5266,31.2567,0
4800,756.0,2023-05-05 00:16:06.020004,2.255,0.5331,-744.0099,-27.4116,131.278,0
4900,246.0,2023-05-05 00:16:09.040008,1.8346,0.5425,-242.0449,10.2716,42.7175,0
5000,795.0,2023-05-05 00:16:09.040008,1.6435,0.0233,-782.2181,33.195,138.0503,0
5100,330.0,2023-05-05 00:16:12.069984,1.1084,0.3768,-322.578,39.4933,57.3039,0
5200,138.0,2023-05-05 00:16:15.089988,1.4524,0.6421,-133.1704,27.118,23.9634,0
5300,648.0,2023-05-05 00:16:15.089988,1.7964,0.9307,-625.3221,127.3369,112.524,0
5400,216.0,2023-05-05 00:16:18.120000,0.9555,0.7047,-204.4269,58.8116,37.508,0
5500,54.0,2023-05-05 00:16:21.140004,-7.1472,0.2015,-49.7826,18.7021,9.377,0
5600,726.0,2023-05-05 00:16:21.140004,0.9937,0.2648,-669.2988,251.4396,126.0686,0
5700,273.0,2023-05-05 00:16:24.170016,1.2231,0.9281,-243.3848,114.217,47.406,0
5800,156.0,2023-05-05 00:16:27.189984,0.9173,0.8799,-133.4744,76.0707,27.0891,0
5900,102.0,2023-05-05 00:16:30.219996,-0.2293,0.7903,-83.0707,56.476,17.7121,0
6000,117.0,2023-05-05 00:16:33.240000,0.344,0.7165,-89.8602,72.1205,20.3168,0
6100,171.0,2023-05-05 00:16:36.270012,0.0764,0.881,-122.5585,115.4933,29.6938,0
6200,150.0,2023-05-05 00:16:39.290016,0.1147,0.5718,-99.1509,109.5018,26.0472,0
6300,36.0,2023-05-05 00:16:42.319992,-2.0257,0.1154,-21.6413,28.0816,6.2513,0
6400,624.0,2023-05-05 00:16:42.319992,-0.0764,0.2049,-375.1164,486.747,108.3565,0
6500,1254.0,2023-05-05 00:16:45.429996,10.8164,0.0218,-671.5164,1036.4191,217.7548,0
6600,57.0,2023-05-05 00:16:51.480012,-7.2619,0.4252,-22.7154,51.3327,9.8979,0
6700,738.0,2023-05-05 00:16:51.480012,-0.8026,0.3655,-294.1041,664.623,128.1524,0
6800,252.0,2023-05-05 00:16:54.509988,-0.5351,0.6462,-82.106,234.1959,43.7593,0
6900,252.0,2023-05-05 00:16:57.529992,-0.8026,0.774,-63.3106,239.9602,43.7593,0
7000,126.0,2023-05-05 00:17:00.560004,-1.7199,0.9555,-22.0803,122.1055,21.8797,0
7100,597.0,2023-05-05 00:17:03.580008,-1.0702,0.2396,-58.3931,585.0232,103.668,0
7200,51.0,2023-05-05 00:17:09.629988,-5.3126,0.7289,2.9699,50.1373,8.8561,0
7300,21.0,2023-05-05 00:17:15.680004,-0.1529,0.0743,4.4586,20.1946,3.6466,0
7400,174.0,2023-05-05 00:17:18.710016,-1.8728,0.9222,50.0998,163.8691,30.2148,0
7500,240.0,2023-05-05 00:17:21.729984,-1.8728,0.7633,86.8159,219.8321,41.6756,0
7600,576.0,2023-05-05 00:17:24.759996,-2.4461,0.6276,249.3773,509.4926,100.0214,0
7700,606.0,2023-05-05 00:17:27.780000,-2.8665,0.0363,303.9719,513.5792,105.2308,0
7800,117.0,2023-05-05 00:17:33.830016,-1.8728,0.6953,73.6159,88.6393,20.3168,0
7900,537.0,2023-05-05 00:17:36.859992,-2.6372,0.2281,369.0868,378.746,93.2491,0
8000,60.0,2023-05-05 00:17:42.910008,-8.4467,0.0439,47.3942,35.2879,10.4189,0
8100,150.0,2023-05-05 00:17:45.939984,-0.9937,0.5588,125.1104,78.5425,26.0472,0
8200,552.0,2023-05-05 00:17:48.959988,-2.7137,0.1652,481.8405,251.686,95.8538,0
8300,24.0,2023-05-05 00:17:55.010004,-0.7262,0.0542,22.414,7.4996,4.1676,0
8400,21.0,2023-05-05 00:18:01.069992,-0.3058,0.0616,20.4033,3.3777,3.6466,0
8500,504.0,2023-05-05 00:18:04.089996,-2.4461,0.2914,494.5513,42.1372,87.5187,0
8600,87.0,2023-05-05 00:18:10.140012,-1.9492,0.6102,85.4471,-6.2898,15.1074,0
8700,60.0,2023-05-05 00:18:16.200000,-8.5996,0.1006,57.5036,-13.5933,10.4189,0
8800,63.0,2023-05-05 00:18:22.250016,-8.4467,0.0381,57.3698,-23.6227,10.9398,0
8900,48.0,2023-05-05 00:18:28.299996,-4.6247,0.4772,40.3179,-24.6778,8.3351,0
9000,597.0,2023-05-05 00:18:31.330008,-1.6817,0.255,475.5852,-345.6597,103.668,0
9100,81.0,2023-05-05 00:18:37.379988,-1.1466,0.6768,56.3168,-56.494,14.0655,0
9200,324.0,2023-05-05 00:18:40.399992,-0.4204,0.8489,206.6309,-243.1342,56.262,0
9300,654.0,2023-05-05 00:18:43.430004,-1.1848,0.1303,376.9327,-522.2457,113.5659,0
9400,672.0,2023-05-05 00:18:46.599984,-0.8026,0.0446,341.3424,-566.9678,116.6916,0
9500,627.0,2023-05-05 00:18:49.629996,0.0764,0.0279,275.6122,-552.551,108.8774,0
9600,678.0,2023-05-05 00:18:52.650000,0.2675,0.0303,249.8005,-619.2112,117.7335,0
9700,672.0,2023-05-05 00:18:55.680012,0.8791,0.026,198.3433,-631.3692,116.6916,0
9800,882.0,2023-05-05 00:18:58.700016,10.0902,0.0205,193.4718,-846.7794,153.1577,0
9900,255.0,2023-05-05 00:19:04.749996,2.0639,0.5893,16.6868,-250.571,44.2803,0
10000,636.0,2023-05-05 00:19:07.780008,1.3377,0.1106,-7.9799,-626.2869,110.4402,0
10100,57.0,2023-05-05 00:19:13.829988,-7.8734,0.0937,-9.5545,-55.3149,9.8979,0
10200,6.0,2023-05-05 00:19:19.869996,0.4204,0.0722,-1.913,-5.5906,1.0419,0
10300,111.0,2023-05-05 00:19:22.900008,1.7581,0.8839,-43.4487,-100.308,19.2749,0
10400,318.0,2023-05-05 00:19:25.920012,2.7137,0.6388,-146.8308,-276.6143,55.2201,0
10500,339.0,2023-05-05 00:19:28.940016,2.6754,0.4941,-179.3774,-281.5661,58.8667,0
10600,321.0,2023-05-05 00:19:31.969992,2.7901,0.9976,-190.424,-252.3344,55.7411,0
10700,729.0,2023-05-05 00:19:34.989996,1.911,0.1501,-476.368,-537.1123,126.5895,0
10800,1254.0,2023-05-05 00:19:38.010000,-3.2487,0.0198,-889.9933,-856.1605,217.7548,0
10900,435.0,2023-05-05 00:19:41.030004,3.4016,0.6501,-331.2696,-271.6241,75.537,0
11000,234.0,2023-05-05 00:19:44.060016,2.3697,0.4702,-189.2068,-131.5511,40.6337,0
11100,756.0,2023-05-05 00:19:44.060016,1.6817,0.16,-611.2835,-425.0113,131.278,0
11200,354.0,2023-05-05 00:19:47.079984,2.7137,0.4148,-301.0907,-175.7318,61.4715,0
11300,189.0,2023-05-05 00:19:50.099988,2.8665,0.8869,-167.6599,-80.8335,32.8195,0
11400,87.0,2023-05-05 00:19:53.119992,2.0639,0.8418,-79.8745,-30.9973,15.1074,0
11500,21.0,2023-05-05 00:19:59.170008,-0.4586,0.0705,-20.2192,-4.3457,3.6466,0
11600,720.0,2023-05-05 00:20:02.190012,1.7581,0.2727,-702.8492,-93.6553,125.0267,0
11700,51.0,2023-05-05 00:20:08.229984,-5.5802,0.3654,-50.2087,1.2885,8.8561,0
11800,735.0,2023-05-05 00:20:11.249988,2.2168,0.1166,-719.8685,75.6612,127.6314,0
11900,1251.0,2023-05-05 00:20:14.269992,-0.3058,0.0191,-1211.2076,225.3588,217.2339,0
12000,315.0,2023-05-05 00:20:20.330016,1.1848,0.9733,-292.1853,104.2149,54.6992,0
12100,648.0,2023-05-05 00:20:23.349984,1.1084,0.8415,-582.2569,261.1882,112.524,0
12200,630.0,2023-05-05 00:20:26.369988,0.4204,0.0262,-544.2068,297.9445,109.3984,0
12300,690.0,2023-05-05 00:20:29.389992,0.8791,0.0484,-568.336,372.4756,119.8172,0
12400,54.0,2023-05-05 00:20:35.430000,-6.6504,0.5005,-39.3333,35.7905,9.377,0
12500,15.0,2023-05-05 00:20:41.470008,-0.4204,0.057,-9.2221,11.5399,2.6047,0
12600,648.0,2023-05-05 00:20:44.490012,-0.3058,0.0674,-357.6826,528.4936,112.524,0
12700,558.0,2023-05-05 00:20:50.679996,-0.8791,0.5167,-230.5855,498.8041,96.8957,0
12800,42.0,2023-05-05 00:20:56.730012,-2.6372,0.3993,-11.1995,39.8168,7.2932,0
12900,39.0,2023-05-05 00:21:02.769984,-2.7901,0.2226,-4.4477,38.1491,6.7723,0
13,48.0,2023-05-05 00:28:07.410000,-4.2042,0.696,0.0,47.2708,8.3351,1
113,660.0,2023-05-05 00:28:10.440012,-2.7519,0.0365,49.1866,648.1093,114.6078,1
213,729.0,2023-05-05 00:28:16.489992,-3.0576,0.4174,166.2557,698.409,126.5895,1
313,732.0,2023-05-05 00:28:19.509996,-2.6754,0.0349,222.0459,685.8298,127.1105,1
413,939.0,2023-05-05 00:28:25.560012,11.7337,0.0191,419.9645,823.8712,163.0556,1
513,6.0,2023-05-05 00:28:34.629996,0.4204,0.1725,3.8477,4.4844,1.0419,1
613,564.0,2023-05-05 00:28:37.650000,-3.2487,0.0677,393.8447,391.6511,97.9376,1
713,585.0,2023-05-05 00:28:43.690008,-2.4079,0.3604,467.4992,336.6752,101.5842,1
813,57.0,2023-05-05 00:28:49.739988,-8.0263,0.2868,50.1573,25.2046,9.8979,1
913,159.0,2023-05-05 00:28:52.910004,-1.7581,0.88,145.2643,58.4548,27.6101,1
1013,192.0,2023-05-05 00:28:55.940016,-1.9492,0.155,180.4406,56.5121,33.3405,1
1113,492.0,2023-05-05 00:28:55.940016,-2.8283,0.3901,462.379,144.8122,85.4349,1
1213,573.0,2023-05-05 00:29:01.979988,-2.3314,0.174,558.3701,81.5569,99.5004,1
1313,63.0,2023-05-05 00:29:08.019996,-8.3703,0.0226,62.0374,-0.8229,10.9398,1
1413,132.0,2023-05-05 00:29:11.050008,-1.2231,0.8397,129.441,-11.9851,22.9216,1
1513,303.0,2023-05-05 00:29:14.070012,-2.0639,0.8743,294.0159,-50.9439,52.6154,1
1613,570.0,2023-05-05 00:29:17.090016,-2.5608,0.0235,543.7536,-139.4099,98.9795,1
1713,108.0,2023-05-05 00:29:23.129988,-0.1911,0.637,97.5822,-42.3085,18.754,1
1813,561.0,2023-05-05 00:29:26.149992,-1.8346,0.4274,487.9441,-259.1169,97.4166,1
1913,600.0,2023-05-05 00:29:29.180004,-1.4906,0.0683,498.2916,-317.5691,104.1889,1
2013,39.0,2023-05-05 00:29:35.220012,-2.2168,0.1889,28.73,-25.4897,6.7723,1
2113,96.0,2023-05-05 00:29:38.240016,0.6115,0.7599,65.5315,-68.1449,16.6702,1
2213,132.0,2023-05-05 00:29:41.259984,0.9555,0.7432,82.4239,-100.5232,22.9216,1
2313,174.0,2023-05-05 00:29:44.279988,-0.1147,0.8248,97.8201,-140.6922,30.2148,1
2413,573.0,2023-05-05 00:29:47.310000,0.3058,0.2054,284.4472,-487.3587,99.5004,1
2513,81.0,2023-05-05 00:29:53.350008,-0.9937,0.4054,28.8596,-74.3659,14.0655,1
2613,162.0,2023-05-05 00:29:56.370012,1.1848,0.9544,45.7652,-152.8339,28.131,1
2713,510.0,2023-05-05 00:29:59.390016,1.3759,0.5601,105.5385,-491.0383,88.5606,1
2813,12.0,2023-05-05 00:30:05.429988,0.1911,0.0912,0.6308,-11.8008,2.0838,1
2913,156.0,2023-05-05 00:30:08.460000,1.6817,0.7169,-3.9412,-153.5794,27.0891,1
3013,192.0,2023-05-05 00:30:11.480004,1.7581,0.6749,-19.7974,-188.0438,33.3405,1
3113,237.0,2023-05-05 00:30:14.500008,1.9875,0.9879,-42.7339,-229.4539,41.1546,1
3213,201.0,2023-05-05 00:30:17.520012,1.7581,0.4646,-51.5326,-191.1208,34.9033,1
3313,222.0,2023-05-05 00:30:20.540016,2.255,0.4857,-73.4108,-205.9339,38.5499,1
3413,276.0,2023-05-05 00:30:23.559984,1.9875,0.5199,-111.2035,-248.0177,47.9269,1
3513,300.0,2023-05-05 00:30:26.579988,1.8728,0.6961,-141.7879,-259.1956,52.0945,1
3613,318.0,2023-05-05 00:30:29.599992,2.6372,0.8692,-171.5712,-261.9887,55.2201,1
3713,657.0,2023-05-05 00:30:32.630004,2.7137,0.2087,-396.2053,-511.5218,114.0869,1
3813,48.0,2023-05-05 00:30:38.670012,-5.0833,0.3796,-34.4702,-32.347,8.3351,1
3913,9.0,2023-05-05 00:30:44.709984,-0.1911,0.1232,-7.3393,-4.9691,1.5628,1
4013,480.0,2023-05-05 00:30:47.729988,2.4079,0.3626,-411.1799,-233.2031,83.3511,1
4113,537.0,2023-05-05 00:30:50.749992,2.943,0.9508,-479.1763,-223.7491,93.2491,1
4213,105.0,2023-05-05 00:30:53.859996,1.3759,0.6923,-96.9446,-35.9764,18.2331,1
4313,357.0,2023-05-05 00:30:56.900016,1.9492,0.5615,-338.2597,-95.8454,61.9924,1
4413,435.0,2023-05-05 00:30:59.919984,2.8283,0.5359,-420.1161,-83.795,75.537,1
4513,750.0,2023-05-05 00:31:02.939988,2.7519,0.1098,-733.5013,-86.6858,130.2361,1
4613,537.0,2023-05-05 00:31:05.959992,2.9812,0.6074,-528.452,-20.3011,93.2491,1
4713,381.0,2023-05-05 00:31:08.979996,2.7137,0.2571,-374.9015,15.2542,66.16,1
4813,45.0,2023-05-05 00:31:12.000000,-4.51,0.0486,-43.9991,5.2933,7.8142,1
4913,711.0,2023-05-05 00:31:12.000000,1.7964,0.304,-695.1856,83.6343,123.4639,1
5013,723.0,2023-05-05 00:31:15.020004,1.2231,0.0433,-698.0178,140.4915,125.5476,1
5113,687.0,2023-05-05 00:31:18.040008,1.2613,0.0556,-650.6138,185.5778,119.2963,1
5213,12.0,2023-05-05 00:31:27.099984,0.0,0.0748,-10.2825,5.8247,2.0838,1
5313,24.0,2023-05-05 00:31:33.139992,-0.1911,0.051,-18.4741,14.7424,4.1676,1
5413,78.0,2023-05-05 00:31:39.180000,-0.4969,0.0823,-51.7272,56.7877,13.5446,1
5513,657.0,2023-05-05 00:31:42.200004,-0.3058,0.5465,-396.5623,511.2451,114.0869,1
5613,165.0,2023-05-05 00:31:48.240012,-0.4204,0.7963,-78.1077,142.4895,28.6519,1
5713,585.0,2023-05-05 00:31:51.269988,-0.9173,0.026,-236.1618,525.4838,101.5842,1
5813,12.0,2023-05-05 00:31:57.309996,-0.1147,0.1233,-3.0845,11.408,2.0838,1
5913,711.0,2023-05-05 00:31:57.309996,-1.7964,0.0672,-182.7588,675.9267,123.4639,1
6013,9.0,2023-05-05 00:32:03.350004,0.344,0.0972,-0.9357,8.8137,1.5628,1
6113,24.0,2023-05-05 00:32:06.370008,-0.0382,0.058,-0.6311,23.627,4.1676,1
6213,510.0,2023-05-05 00:32:09.390012,-2.255,0.4771,26.3734,501.559,88.5606,1
6313,6.0,2023-05-05 00:32:15.429984,0.344,0.1261,1.2356,5.7782,1.0419,1
6413,564.0,2023-05-05 00:32:18.449988,-2.3697,0.0324,158.7732,532.2549,97.9376,1
6513,552.0,2023-05-05 00:32:24.489996,-2.3314,0.0975,235.5721,489.9202,95.8538,1
6613,573.0,2023-05-05 00:32:30.530004,-2.4461,0.0332,321.5653,463.7073,99.5004,1
6713,648.0,2023-05-05 00:32:36.570012,-2.3697,0.0377,441.7753,460.5181,112.524,1
6813,291.0,2023-05-05 00:32:42.609984,-2.1021,0.6366,228.5407,172.9067,50.5316,1
6913,6.0,2023-05-05 00:32:48.649992,0.6497,0.1204,5.2143,2.7795,1.0419,1
7013,87.0,2023-05-05 00:32:51.669996,-1.1848,0.6621,78.5542,34.2053,15.1074,1
7113,78.0,2023-05-05 00:32:54.840012,-2.3697,0.4848,72.7341,24.7041,13.5446,1
7213,606.0,2023-05-05 00:32:54.840012,-3.287,0.0551,565.0883,191.9316,105.2308,1
7313,585.0,2023-05-05 00:33:00.879984,-3.3252,0.5823,567.8761,97.0688,101.5842,1
7413,660.0,2023-05-05 00:33:03.899988,-3.1341,0.2864,647.3288,58.5698,114.6078,1
7513,537.0,2023-05-05 00:33:06.919992,-2.6754,0.7745,528.8098,5.8148,93.2491,1
7613,144.0,2023-05-05 00:33:09.939996,-2.3314,0.8897,141.4822,-9.6701,25.0053,1
7713,1257.0,2023-05-05 00:33:09.939996,7.9881,0.0197,1235.022,-84.4119,218.2758,1
7813,78.0,2023-05-05 00:33:15.980004,-1.4142,0.0563,74.8553,-17.2404,13.5446,1
7913,453.0,2023-05-05 00:33:19.000008,-2.599,0.6148,425.4936,-134.076,78.6626,1
8013,162.0,2023-05-05 00:33:25.040016,-2.1021,0.9881,142.6897,-71.3603,28.131,1
8113,45.0,2023-05-05 00:33:31.079988,-3.8603,0.2087,36.0201,-25.8164,7.8142,1
8213,543.0,2023-05-05 00:33:34.099992,-0.8408,0.0524,408.6813,-344.8737,94.291,1
8313,84.0,2023-05-05 00:33:40.140000,-1.032,0.5537,54.0207,-62.6498,14.5864,1
8413,546.0,2023-05-05 00:33:43.160004,-0.8408,0.1151,317.7988,-433.7403,94.8119,1
8513,87.0,2023-05-05 00:33:49.200012,-0.0382,0.5648,39.1235,-76.2242,15.1074,1
8613,48.0,2023-05-05 00:33:55.239984,-5.6566,0.1371,14.6938,-44.929,8.3351,1
8713,546.0,2023-05-05 00:33:58.259988,1.0702,0.0528,126.1634,-522.6945,94.8119,1
8813,468.0,2023-05-05 00:34:04.299996,0.7644,0.9089,36.161,-459.4693,81.2673,1
